Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1n,C1523
"C2, C5",0402,2,100n,C1525
C4,0603,1,10u,C19702
"R1, R2, R3",0402,3,2k2,C25879
U1,LFCSP-24-1EP_4x4mm_P0.5mm_EP2.3x2.3mm,1,AD7147-1,C207411
